#_____time conns tot_conn  tot_req      tot_bytes    err thr cps rps Bps bps ttfb(us) ttlb(us)
1619304441  1196     1196 237116382    30113781081      0 100 0.0 2207812.2 280392021.0 2243136167.8 541.2 541.2 
1619304442  1196     1196 239326001    30394402694      0 100 0.0 2207411.6 280341271.7 2242730173.8 541.3 541.3 
1619304443  1196     1196 241531087    30674448616      0 100 0.0 2202883.1 279766155.8 2238129246.8 542.4 542.4 
1619304444  1196     1196 243737184    30954622935      0 100 0.0 2203893.1 279894424.6 2239155396.6 542.2 542.2 
1619304445  1196     1196 245946850    31235250517      0 100 0.0 2207458.5 280347234.8 2242777878.1 541.3 541.3 
1619304446  1196     1196 248152536    31515372639      0 100 0.0 2205686.0 280122122.0 2240976976.0 541.7 541.7 
1619304447  1196     1196 250361652    31795930371      0 100 0.0 2206909.1 280277454.5 2242219636.4 541.4 541.4 
1619304448  1196     1196 250364044    31796235979      0 100 0.0 2389.6 305302.7 2442421.6 - - 
1619304449  1196     1196 250364044    31796235979      0 100 0.0 0.0 0.0 0.0 - - 
#======= Percentiles for time-to-first-byte and time-to-last-byte =======
# use $3:$5 $3:$7 with logscale X
# $1     $2      $3         $4       $5         $6       $7
#pctl   tail   invtail   ttfbcnt ttfb(ms)   ttlbcnt ttlb(ms)
10      90     1        20065917    0.302  20065917    0.302
20      80     1        40601402    0.346  40601402    0.346
30      70     1        61006587    0.389  61006587    0.389
40      60     2        81548433    0.439  81548433    0.439
50      50     2       102311863    0.494 102311863    0.494
55      45     2       112411102    0.522 112411102    0.522
60      40     3       122521615    0.553 122521615    0.553
65      35     3       133001749    0.593 133001749    0.593
70      30     3       143192632    0.649 143192632    0.649
75      25     4       153393316    0.713 153393316    0.713
80      20     5       163651336    0.762 163651336    0.762
82      18     6       167746369    0.779 167746369    0.779
84      16     6       171724700    0.795 171724700    0.795
86      14     7       175961611    0.812 175961611    0.812
88      12     8       180083469    0.829 180083469    0.829
90      10     10      184200123    0.847 184200123    0.847
91      9      11      186127667    0.856 186127667    0.856
92      8      13      188148115    0.866 188148115    0.866
93      7      14      190214493    0.877 190214493    0.877
94      6      17      192273310    0.889 192273310    0.889
95      5      20      194407104    0.903 194407104    0.903
95.5    4.5    22      195369423     0.91 195369423     0.91
96      4      25      196382576    0.918 196382576    0.918
96.5    3.5    29      197419511    0.927 197419511    0.927
97      3      33      198448258    0.937 198448258    0.937
97.5    2.5    40      199524071    0.949 199524071    0.949
98      2      50      200579493    0.963 200579493    0.963
98.5    1.5    67      201554901    0.979 201554901    0.979
99      1      100     202599355    1.002 202599355    1.002
99.1    0.9    111     202813969    1.008 202813969    1.008
99.2    0.8    125     203008458    1.014 203008458    1.014
99.3    0.7    143     203239796    1.022 203239796    1.022
99.4    0.6    167     203440772     1.03 203440772     1.03
99.5    0.5    200     203635042    1.039 203635042    1.039
99.55   0.45   222     203748901    1.045 203748901    1.045
99.6    0.4    250     203850732    1.051 203850732    1.051
99.65   0.35   286     203955661    1.058 203955661    1.058
99.7    0.3    333     204060258    1.066 204060258    1.066
99.75   0.25   400     204161196    1.075 204161196    1.075
99.8    0.2    500     204262584    1.086 204262584    1.086
99.85   0.15   667     204363425      1.1 204363425      1.1
99.9    0.1    1000    204466802     1.12 204466802     1.12
99.91   0.09   1111    204486779    1.125 204486779    1.125
99.92   0.08   1250    204508353    1.131 204508353    1.131
99.93   0.07   1429    204530216    1.138 204530216    1.138
99.94   0.06   1667    204549239    1.145 204549239    1.145
99.95   0.05   2000    204569983    1.154 204569983    1.154
99.96   0.04   2500    204592194    1.166 204592194    1.166
99.965  0.035  2857    204602763    1.173 204602763    1.173
99.97   0.03   3333    204612017     1.18 204612017     1.18
99.975  0.025  4000    204623107     1.19 204623107     1.19
99.98   0.02   5000    204632840    1.201 204632840    1.201
99.985  0.015  6667    204643709    1.218 204643709    1.218
99.99   0.01   10000   204653944    1.242 204653944    1.242
99.995  0.005  20000   204664141    1.293 204664141    1.293
99.996  0.004  25000   204666195    1.314 204666195    1.314
99.9965 0.0035 28571   204667272    1.329 204667272    1.329
99.997  0.003  33333   204668260    1.347 204668260    1.347
99.9975 0.0025 40000   204669305    1.375 204669305    1.375
99.998  0.002  50000   204670332    1.418 204670332    1.418
99.9985 0.0015 66667   204671361    1.481 204671361    1.481
99.999  0.001  100000  204672387    1.573 204672387    1.573
99.9995 0.0005 200000  204673408    1.723 204673408    1.723
99.9999 0.0001 1000000 204674229    2.011 204674229    2.011
